gpu_type,model_name,num_servers,is_prefix_cached,benchmark_label,router_strategy,output_len,max_concurrency,with_warmup,max_conversations,num_prompts,duration,completed,request_throughput,input_throughput,output_throughput,mean_ttft_ms,median_ttft_ms,std_ttft_ms,p99_ttft_ms,mean_tpot_ms,median_tpot_ms,std_tpot_ms,p99_tpot_ms,mean_itl_ms,median_itl_ms,std_itl_ms,p99_itl_ms,mean_e2e_latency_ms,median_e2e_latency_ms
L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,4-gpus_40-concurrency,prefix_aware,32,40,False,4000,4000,83.2483,4000,48.049,44832.5873,1537.5688,150.2216,80.4511,163.1232,654.4074,21.7852,20.8659,4.7971,37.2436,21.8182,16.5821,30.9828,133.7712,825.5621,769.7219
L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,4-gpus_40-concurrency,random,32,40,False,4000,4000,98.6677,4000,40.5401,37826.3122,1297.2831,188.9324,131.1959,173.5162,762.3509,25.5306,23.6704,7.8216,50.9673,25.5677,16.7129,41.3587,216.3342,980.3811,911.7196
L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,4-gpus_40-concurrency,round_robin,32,40,False,4000,4000,96.4044,4000,41.4919,38714.4031,1327.7409,151.1961,83.7898,171.337,883.2231,26.0152,24.8924,6.2603,43.8059,26.0582,17.0774,35.3815,183.7554,957.6669,913.5387
gpu_type,model_name,num_servers,is_prefix_cached,benchmark_label,router_strategy,output_len,max_concurrency,with_warmup,max_conversations,num_prompts,duration,completed,request_throughput,input_throughput,output_throughput,mean_ttft_ms,median_ttft_ms,std_ttft_ms,p99_ttft_ms,mean_tpot_ms,median_tpot_ms,std_tpot_ms,p99_tpot_ms,mean_itl_ms,median_itl_ms,std_itl_ms,p99_itl_ms,mean_e2e_latency_ms,median_e2e_latency_ms
L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,4-gpus_40-concurrency_with-warmup,prefix_aware,32,40,True,4000,4000,77.325,4000,51.7297,48266.867,1655.3501,139.0857,68.5136,156.9342,675.3028,20.2473,19.8873,3.6079,34.4721,20.2769,16.5731,28.9671,78.1851,766.7521,720.3439
L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,4-gpus_40-concurrency_with-warmup,random,32,40,True,4000,4000,80.1815,4000,49.8868,46547.3562,1596.3781,130.3947,74.5368,133.6613,609.3106,21.4289,20.8333,3.8761,32.7648,21.4589,16.7525,27.6806,106.3958,794.6892,757.9717
L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,4-gpus_40-concurrency_with-warmup,round_robin,32,40,True,4000,4000,81.0699,4000,49.3401,46037.2713,1578.8844,125.889,59.383,145.9426,665.8701,21.8974,21.5711,3.4348,31.9591,21.9332,16.8911,26.412,111.2448,804.709,766.9544
gpu_type,model_name,num_servers,is_prefix_cached,benchmark_label,router_strategy,output_len,max_concurrency,with_warmup,max_conversations,num_prompts,duration,completed,request_throughput,input_throughput,output_throughput,mean_ttft_ms,median_ttft_ms,std_ttft_ms,p99_ttft_ms,mean_tpot_ms,median_tpot_ms,std_tpot_ms,p99_tpot_ms,mean_itl_ms,median_itl_ms,std_itl_ms,p99_itl_ms,mean_e2e_latency_ms,median_e2e_latency_ms
L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,long-conversations_4-gpus_40-concurrency,prefix_aware,32,40,False,10000,1000,29.9916,1000,33.3427,59333.2277,1066.9657,275.9632,172.305,325.8744,1747.6525,29.3961,28.8492,8.2352,50.0117,29.3979,17.4739,47.7841,242.3486,1187.241,1088.9763
L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,long-conversations_4-gpus_40-concurrency,random,32,40,False,10000,1000,41.9416,1000,23.8427,42427.9794,762.9654,479.0548,344.6644,419.7569,1992.506,37.6734,34.1129,16.7351,98.1453,37.673,17.6684,100.3462,509.9087,1646.9303,1528.8252
L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,long-conversations_4-gpus_40-concurrency,round_robin,32,40,False,10000,1000,39.17,1000,25.5297,45430.1183,816.9516,334.7365,200.0345,368.4319,1942.8941,39.26,39.4708,11.5378,66.3914,39.2554,17.6557,74.4854,398.2753,1551.7974,1509.8468
gpu_type,model_name,num_servers,is_prefix_cached,benchmark_label,router_strategy,output_len,max_concurrency,with_warmup,max_conversations,num_prompts,duration,completed,request_throughput,input_throughput,output_throughput,mean_ttft_ms,median_ttft_ms,std_ttft_ms,p99_ttft_ms,mean_tpot_ms,median_tpot_ms,std_tpot_ms,p99_tpot_ms,mean_itl_ms,median_itl_ms,std_itl_ms,p99_itl_ms,mean_e2e_latency_ms,median_e2e_latency_ms
L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,long-conversations_4-gpus_40-concurrency_with-warmup,prefix_aware,32,40,True,10000,1000,23.6824,1000,42.2255,75140.1416,1351.2151,244.1556,129.2396,255.0923,1027.6582,22.2664,22.1683,4.6464,33.5672,22.2596,17.2915,30.9337,153.3337,934.4135,887.8732
L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,long-conversations_4-gpus_40-concurrency_with-warmup,random,32,40,True,10000,1000,30.5464,1000,32.737,58255.5118,1047.5855,278.5488,201.6869,248.0221,1341.8858,29.8668,28.1849,10.2915,74.8774,29.862,17.6958,57.9254,282.868,1204.4208,1114.7134
L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,long-conversations_4-gpus_40-concurrency_with-warmup,round_robin,32,40,True,10000,1000,31.1321,1000,32.1212,57159.6402,1027.8789,226.5569,153.1206,220.9948,918.5948,31.9753,31.0104,9.1808,54.8076,31.9765,17.6644,52.4242,275.5847,1217.7917,1180.6666
gpu_type,model_name,num_servers,is_prefix_cached,benchmark_label,router_strategy,output_len,max_concurrency,with_warmup,max_conversations,num_prompts,duration,completed,request_throughput,input_throughput,output_throughput,mean_ttft_ms,median_ttft_ms,std_ttft_ms,p99_ttft_ms,mean_tpot_ms,median_tpot_ms,std_tpot_ms,p99_tpot_ms,mean_itl_ms,median_itl_ms,std_itl_ms,p99_itl_ms,mean_e2e_latency_ms,median_e2e_latency_ms
L4,Qwen/Qwen2.5-1.5B-Instruct,1,True,long-conversations_1-gpu_1-concurrency,prefix_aware,32,1,False,2000,100,53.2701,100,1.8772,3339.942,60.0712,85.066,107.1093,45.1007,153.9286,14.419,14.4114,0.0593,14.5652,14.4118,14.3781,0.2947,15.2159,532.0546,553.8808
L4,Qwen/Qwen2.5-1.5B-Instruct,1,True,long-conversations_1-gpu_1-concurrency,random,32,1,False,2000,100,53.6161,100,1.8651,3318.3876,59.6836,87.2822,109.4747,47.2651,160.2481,14.4595,14.4551,0.0588,14.5878,14.4518,14.4179,0.309,15.2882,535.5262,556.6621
L4,Qwen/Qwen2.5-1.5B-Instruct,1,True,long-conversations_1-gpu_1-concurrency,round_robin,32,1,False,2000,100,53.7794,100,1.8594,3308.3139,59.5024,88.1246,110.9017,47.7974,161.1126,14.4843,14.4855,0.0637,14.6329,14.477,14.4318,0.2786,15.304,537.139,558.8217
gpu_type,model_name,num_servers,is_prefix_cached,benchmark_label,router_strategy,output_len,max_concurrency,with_warmup,max_conversations,num_prompts,duration,completed,request_throughput,input_throughput,output_throughput,mean_ttft_ms,median_ttft_ms,std_ttft_ms,p99_ttft_ms,mean_tpot_ms,median_tpot_ms,std_tpot_ms,p99_tpot_ms,mean_itl_ms,median_itl_ms,std_itl_ms,p99_itl_ms,mean_e2e_latency_ms,median_e2e_latency_ms
L4,Qwen/Qwen2.5-1.5B-Instruct,1,True,long-conversations_1-gpu_1-concurrency_with-warmup,prefix_aware,32,1,True,2000,100,48.4392,100,2.0644,3673.0378,66.0622,35.2015,34.4624,2.3723,42.916,14.4688,14.4676,0.0533,14.5643,14.4616,14.4476,0.2489,15.1452,483.7355,483.4454
L4,Qwen/Qwen2.5-1.5B-Instruct,1,True,long-conversations_1-gpu_1-concurrency_with-warmup,random,32,1,True,2000,100,48.144,100,2.0771,3695.5572,66.4672,34.4531,33.9622,2.0125,38.6996,14.3989,14.3953,0.0428,14.5003,14.3925,14.3794,0.1748,14.9877,480.818,480.6954
L4,Qwen/Qwen2.5-1.5B-Instruct,1,True,long-conversations_1-gpu_1-concurrency_with-warmup,round_robin,32,1,True,2000,100,48.4548,100,2.0638,3671.8538,66.0409,35.149,35.013,2.2663,40.9319,14.4764,14.4682,0.0466,14.572,14.4699,14.4598,0.1497,15.0741,483.918,483.7989
gpu_type,model_name,num_servers,is_prefix_cached,benchmark_label,router_strategy,output_len,max_concurrency,with_warmup,max_conversations,num_prompts,duration,completed,request_throughput,input_throughput,output_throughput,mean_ttft_ms,median_ttft_ms,std_ttft_ms,p99_ttft_ms,mean_tpot_ms,median_tpot_ms,std_tpot_ms,p99_tpot_ms,mean_itl_ms,median_itl_ms,std_itl_ms,p99_itl_ms,mean_e2e_latency_ms,median_e2e_latency_ms
L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,custom-prefix-router_long-conversations_4-gpu_40-concurrency,prefix_aware,32,40,False,10000,1000,30.8033,1000,32.464,57769.6838,1038.8491,308.9565,182.1753,351.9632,1927.8209,29.1983,28.2604,7.9166,48.0601,29.1775,17.3934,49.0451,241.9267,1214.1053,1131.2948
L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,custom-prefix-router_long-conversations_4-gpu_40-concurrency,random,32,40,False,10000,1000,41.6052,1000,24.0355,42771.044,769.1346,443.7324,336.7736,380.2545,1999.1855,38.8755,34.9109,17.1248,89.3898,38.8779,17.5835,91.3783,454.9187,1648.8723,1490.0004
L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,custom-prefix-router_long-conversations_4-gpu_40-concurrency,round_robin,32,40,False,10000,1000,39.1319,1000,25.5546,45474.3706,817.7474,325.4185,178.701,378.5154,1983.1415,39.4322,39.018,12.031,71.6402,39.4341,17.8442,68.669,365.6732,1547.8153,1468.7794
gpu_type,model_name,num_servers,is_prefix_cached,benchmark_label,router_strategy,output_len,max_concurrency,with_warmup,max_conversations,num_prompts,duration,completed,request_throughput,input_throughput,output_throughput,mean_ttft_ms,median_ttft_ms,std_ttft_ms,p99_ttft_ms,mean_tpot_ms,median_tpot_ms,std_tpot_ms,p99_tpot_ms,mean_itl_ms,median_itl_ms,std_itl_ms,p99_itl_ms,mean_e2e_latency_ms,median_e2e_latency_ms
L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,custom-prefix-router_long-conversations_4-gpu_40-concurrency_with-warmup,prefix_aware,32,40,True,10000,1000,23.7015,1000,42.1914,75079.5284,1350.1251,238.715,151.5912,228.1304,940.3244,22.2511,21.9061,4.2343,31.4146,22.2283,17.1623,31.0943,151.157,928.4995,890.343
L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,custom-prefix-router_long-conversations_4-gpu_40-concurrency_with-warmup,random,32,40,True,10000,1000,30.0854,1000,33.2388,59148.3029,1063.6402,280.3717,190.415,309.3078,1948.3556,29.253,27.992,9.3777,57.919,29.2506,17.8585,51.4411,275.8927,1187.2148,1114.1435
L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,custom-prefix-router_long-conversations_4-gpu_40-concurrency_with-warmup,round_robin,32,40,True,10000,1000,30.7459,1000,32.5246,57877.5417,1040.7887,235.0156,143.0854,275.5734,1278.4023,31.4025,30.3159,9.3522,53.8932,31.4051,17.7017,51.1312,296.3626,1208.4929,1143.3159
