gpu_type,model_name,num_servers,enable_prefix_caching,enable_chunked_prefill,benchmark_label,scheduler_strategy,min_output_len,max_output_len,max_concurrency,request_rate,with_warmup,disable_ignore_eos,max_conversations,num_prompts,duration,completed,request_throughput,input_throughput,output_throughput,mean_ttft_ms,median_ttft_ms,std_ttft_ms,p99_ttft_ms,mean_tpot_ms,median_tpot_ms,std_tpot_ms,p99_tpot_ms,mean_itl_ms,median_itl_ms,std_itl_ms,p99_itl_ms,mean_e2e_latency_ms,median_e2e_latency_ms
L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,True,probe_queues_and_hardcode_tree_and_query_metrics,round_robin,10,200,40,100,False,False,10000,1000,65.726,1000,15.2147,27074.4889,1551.4863,205.04,191.3503,104.8578,712.2999,23.5927,24.1132,5.1754,34.2701,24.5121,14.3758,29.2004,110.1102,2554.6349,2414.3783
L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,True,probe_queues_and_hardcode_tree_and_query_metrics,round_robin,10,200,40,100,False,False,10000,1000,66.7681,1000,14.9772,26651.9304,1527.2719,243.0764,227.0154,102.9766,688.1645,23.72,24.1384,5.2557,38.0796,24.4486,17.505,28.3757,112.567,2595.6246,2503.9338
L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,True,probe_queues_and_hardcode_tree_and_query_metrics,round_robin,10,200,40,100,False,False,10000,1000,67.3176,1000,14.855,26434.3576,1514.804,253.4382,235.0813,109.8654,730.5679,23.8726,24.3962,5.2688,35.9764,24.5796,17.9828,28.6679,112.2647,2614.4806,2486.0403
L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,True,probe_queues_and_hardcode_tree_and_query_metrics,round_robin,10,200,40,100,False,False,10000,1000,67.8599,1000,14.7362,26223.104,1502.6983,256.2922,237.2206,111.0104,718.1983,24.0352,24.5053,5.389,35.8721,24.6764,19.0223,28.2501,112.7961,2633.1837,2538.5504
L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,True,probe_queues_and_hardcode_tree_and_query_metrics,round_robin,10,200,40,100,False,False,10000,1000,67.8481,1000,14.7388,26227.6713,1502.96,253.2859,231.7652,135.8153,924.3281,24.0436,24.3893,5.3005,38.1134,24.699,17.855,29.094,116.2322,2634.9314,2515.4829

L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,True,probe_queues_and_hardcode_tree_and_query_metrics,pow_of_2,10,200,40,100,False,False,10000,1000,66.0348,1000,15.1435,26947.8888,1544.2316,238.0449,213.5285,115.0519,731.6878,23.5473,23.9492,5.2928,37.7345,24.2362,12.7531,30.2636,120.4869,2566.177,2465.7487
L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,True,probe_queues_and_hardcode_tree_and_query_metrics,pow_of_2,10,200,40,100,False,False,10000,1000,66.8973,1000,14.9483,26600.4315,1524.3208,318.4979,283.9466,156.4263,903.4309,23.001,23.3346,5.1689,36.6139,23.6203,15.2262,29.5008,129.5276,2589.3479,2500.0875
L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,True,probe_queues_and_hardcode_tree_and_query_metrics,pow_of_2,10,200,40,100,False,False,10000,1000,68.3815,1000,14.6238,26023.1069,1491.2376,354.9952,314.3388,193.7329,1057.0834,23.4374,23.6222,5.662,42.5851,23.8909,16.8409,29.6135,134.6365,2651.7267,2503.3016
L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,True,probe_queues_and_hardcode_tree_and_query_metrics,pow_of_2,10,200,40,100,False,False,10000,1000,68.9998,1000,14.4928,25789.9002,1477.8738,327.2921,298.7679,141.3177,809.7872,23.7866,23.9528,5.538,39.5429,24.3321,16.9029,30.0274,136.1012,2667.4783,2512.4738
