request_id,before_calling_prefix_match_timestamp,received_by_prefix_match_timestamp,completed_prefix_match_timestamp,after_calling_prefix_match_timestamp,before_calling_insert_timestamp,after_calling_insert_timestamp,received_by_insert_timestamp,completed_insert_timestamp,prefix_match_client_to_server_duration,prefix_match_processing_duration,prefix_match_server_to_client_duration,prefix_match_total_duration,insert_client_to_server_duration,insert_processing_duration,insert_server_to_client_duration,insert_total_duration,total_request_time_duration
199,1744654764.944241,1744654764.9460745,1744654764.9466848,1744654764.94754,1744654764.9476278,1744654764.948745,1744654764.9505053,1744654764.95095,0.012796878814697266,0.00010514259338378906,0.011946678161621094,0.02484869956970215,0.002877473831176758,0.00044465065002441406,-0.00220489501953125,0.0011172294616699219,0.0346987247467041
200,1744654765.258735,1744654765.2715318,1744654765.271637,1744654765.2835836,1744654765.2862852,1744654765.2934337,1744654765.299471,1744654765.2995777,0.003911733627319336,0.00012302398681640625,0.005987882614135742,0.010022640228271484,0.013185739517211914,0.0001068115234375,-0.006144046783447266,0.0071485042572021484,0.016240835189819336
201,1744654765.3128045,1744654765.3167162,1744654765.3168392,1744654765.322827,1744654765.3234274,1744654765.3290453,1744654765.3345249,1744654765.3346605,0.014055013656616211,0.00011014938354492188,0.009465932846069336,0.02363109588623047,0.011097431182861328,0.00013566017150878906,-0.005615234375,0.005617856979370117,0.02975916862487793
202,1744654765.335886,1744654765.349941,1744654765.3500512,1744654765.359517,1744654765.3614614,1744654765.3656452,1744654765.369912,1744654765.370025,0.00819540023803711,0.00012826919555664062,0.005675077438354492,0.013998746871948242,0.008450508117675781,0.00011301040649414062,-0.004379749298095703,0.004183769226074219,0.020247459411621094
203,1744654765.3978522,1744654765.4060476,1744654765.4061759,1744654765.411851,1744654765.4121556,1744654765.4180996,1744654765.422194,1744654765.422309,0.004431486129760742,0.00044083595275878906,0.003095865249633789,0.00796818733215332,0.010038375854492188,0.00011491775512695312,-0.004209280014038086,0.005944013595581055,0.011184215545654297
204,1744654765.4590516,1744654765.463483,1744654765.463924,1744654765.4670198,1744654765.4685535,1744654765.4702358,1744654765.4753597,1744654765.4757366,0.004416227340698242,8.034706115722656e-05,0.006349802017211914,0.010846376419067383,0.006806135177612305,0.0003769397735595703,-0.00550079345703125,0.001682281494140625,0.017371177673339844
205,1744654765.4803057,1744654765.484722,1744654765.4848022,1744654765.491152,1744654765.4929385,1744654765.4976768,1744654765.5009456,1744654765.5011013,0.008076190948486328,0.0004734992980957031,0.006703376770019531,0.015253067016601562,0.008007049560546875,0.0001556873321533203,-0.003424406051635742,0.004738330841064453,0.0183413028717041
206,1744654765.7242553,1744654765.7323315,1744654765.732805,1744654765.7395084,1744654765.7399805,1744654765.7425966,1744654765.7460957,1744654765.7465606,0.009853839874267578,0.00011467933654785156,0.011105060577392578,0.021073579788208008,0.0061151981353759766,0.0004649162292480469,-0.003963947296142578,0.0026161670684814453,0.032845258712768555
207,1744654765.8590558,1744654765.8689096,1744654765.8690243,1744654765.8801293,1744654765.881857,1744654765.891901,1744654765.8956144,1744654765.895734,0.007715702056884766,0.00010156631469726562,0.007081508636474609,0.01489877700805664,0.013757467269897461,0.00011968612670898438,-0.0038330554962158203,0.010044097900390625,0.021717071533203125
208,1744654765.913701,1744654765.9214168,1744654765.9215183,1744654765.9285998,1744654765.9289594,1744654765.9354181,1744654765.9432025,1744654765.943464,0.0064067840576171875,0.0008089542388916016,0.008206844329833984,0.015422582626342773,0.014243125915527344,0.00026154518127441406,-0.00804591178894043,0.006458759307861328,0.019886255264282227
209,1744654765.9375043,1744654765.943911,1744654765.94472,1744654765.9529269,1744654765.9538064,1744654765.9573905,1744654765.9606898,1744654765.961164,0.004822731018066406,0.0004909038543701172,0.006525516510009766,0.011839151382446289,0.006883382797241211,0.0004742145538330078,-0.0037734508514404297,0.003584146499633789,0.01523590087890625
210,1744654765.9682782,1744654765.973101,1744654765.9735918,1744654765.9801173,1744654765.9810095,1744654765.983514,1744654765.9869685,1744654765.9874537,0.006307125091552734,0.00040650367736816406,0.008550643920898438,0.015264272689819336,0.005959033966064453,0.0004851818084716797,-0.003939628601074219,0.002504587173461914,0.024647951126098633
211,1744654766.014089,1744654766.0203962,1744654766.0208027,1744654766.0293534,1744654766.030742,1744654766.038737,1744654766.0435562,1744654766.0439563,0.00836634635925293,0.00014448165893554688,0.0054662227630615234,0.01397705078125,0.01281428337097168,0.0004000663757324219,-0.005219221115112305,0.007995128631591797,0.017635583877563477
212,1744654766.08694,1744654766.0953064,1744654766.0954509,1744654766.100917,1744654766.1017656,1744654766.1045756,1744654766.1084254,1744654766.1085296,0.008870601654052734,0.00011801719665527344,0.013727188110351562,0.02271580696105957,0.006659746170043945,0.00010418891906738281,-0.0039539337158203125,0.0028100013732910156,0.029566049575805664
213,1744654766.1189568,1744654766.1278274,1744654766.1279454,1744654766.1416726,1744654766.1425326,1744654766.1485229,1744654766.1550174,1744654766.1551583,0.006963253021240234,0.00010061264038085938,0.015138864517211914,0.022202730178833008,0.01248478889465332,0.00014090538024902344,-0.006635427474975586,0.005990266799926758,0.028834104537963867
215,1744654766.1508074,1744654766.1577706,1744654766.1578712,1744654766.17301,1744654766.1740487,1744654766.1796415,1744654766.1864233,1744654766.1865609,0.007970571517944336,9.608268737792969e-05,0.01289057731628418,0.020957231521606445,0.012374639511108398,0.00013756752014160156,-0.006919384002685547,0.005592823028564453,0.028540611267089844
216,1744654766.1854222,1744654766.1933928,1744654766.1934888,1744654766.2063794,1744654766.2075474,1744654766.2139628,1744654766.2178836,1744654766.2179933,0.0044231414794921875,0.0004661083221435547,0.005826473236083984,0.010715723037719727,0.010336160659790039,0.00010967254638671875,-0.004030466079711914,0.006415367126464844,0.014342784881591797
217,1744654766.2198324,1744654766.2242556,1744654766.2247217,1744654766.2305481,1744654766.2318692,1744654766.2341752,1744654766.2374368,1744654766.2378874,0.009758949279785156,0.0003590583801269531,0.025040149688720703,0.03515815734863281,0.0055675506591796875,0.0004506111145019531,-0.003712177276611328,0.0023059844970703125,0.03744626045227051
218,1744654766.2865837,1744654766.2963426,1744654766.2967017,1744654766.3217418,1744654766.3219857,1744654766.32403,1744654766.339523,1744654766.3397062,0.010825634002685547,8.225440979003906e-05,0.013586044311523438,0.024493932723999023,0.017537355422973633,0.00018310546875,-0.015676259994506836,0.002044200897216797,0.029517173767089844
220,1744654766.329348,1744654766.3401737,1744654766.340256,1744654766.353842,1744654766.3543594,1744654766.3588653,1744654766.3644087,1744654766.364563,0.006855964660644531,8.130073547363281e-05,0.015769243240356445,0.02270650863647461,0.01004934310913086,0.00015425682067871094,-0.005697727203369141,0.00450587272644043,0.02762150764465332
221,1744654766.3771894,1744654766.3840454,1744654766.3841267,1744654766.399896,1744654766.4014137,1744654766.404811,1744654766.4096684,1744654766.409775,0.005784511566162109,0.00045108795166015625,0.0027244091033935547,0.00896000862121582,0.008254766464233398,0.00010657310485839844,-0.004964113235473633,0.003397226333618164,0.012620687484741211
223,1744654766.4488964,1744654766.454681,1744654766.455132,1744654766.4578564,1744654766.45838,1744654766.461517,1744654766.4646833,1744654766.4651053,0.006752967834472656,0.00012540817260742188,0.007111310958862305,0.013989686965942383,0.006303310394287109,0.0004220008850097656,-0.0035881996154785156,0.0031371116638183594,0.020660400390625
224,1744654766.550048,1744654766.556801,1744654766.5569265,1744654766.5640378,1744654766.5646894,1744654766.5707085,1744654766.5777912,1744654766.5778937,0.0028705596923828125,9.083747863769531e-05,0.0007510185241699219,0.0037124156951904297,0.013101816177368164,0.00010251998901367188,-0.007185220718383789,0.006019115447998047,0.004149198532104492
225,1744654766.5786076,1744654766.581478,1744654766.581569,1744654766.58232,1744654766.5823946,1744654766.5827568,1744654766.5852506,1744654766.5853603,0.0037636756896972656,0.00040793418884277344,0.001786947250366211,0.00595855712890625,0.002856016159057617,0.00010967254638671875,-0.0026035308837890625,0.00036215782165527344,0.00635838508605957
226,1744654766.7213206,1744654766.7250843,1744654766.7254922,1744654766.7272792,1744654766.72743,1744654766.727679,1744654766.7304602,1744654766.7308955,0.004174470901489258,0.0001804828643798828,0.0037419795989990234,0.008096933364868164,0.003030061721801758,0.0004353523254394531,-0.0032165050506591797,0.00024890899658203125,0.01433563232421875
227,1744654766.7630436,1744654766.767218,1744654766.7673986,1744654766.7711406,1744654766.772664,1744654766.7773793,1744654766.7808914,1744654766.7810206,0.004244804382324219,8.7738037109375e-05,0.000732421875,0.005064964294433594,0.008227348327636719,0.00012922286987304688,-0.003641366958618164,0.0047152042388916016,0.005507707595825195
228,1744654766.7836115,1744654766.7878563,1744654766.787944,1744654766.7886765,1744654766.788759,1744654766.7891192,1744654766.791202,1744654766.7913,0.0074808597564697266,9.822845458984375e-05,0.020562410354614258,0.028141498565673828,0.002443075180053711,9.799003601074219e-05,-0.002180814743041992,0.00036025047302246094,0.03145456314086914
229,1744654766.8483007,1744654766.8557816,1744654766.8558798,1744654766.8764422,1744654766.876958,1744654766.8797553,1744654766.8858066,1744654766.8859937,0.013931989669799805,0.0005917549133300781,0.007437944412231445,0.021961688995361328,0.00884866714477539,0.00018715858459472656,-0.006238460540771484,0.002797365188598633,0.025030136108398438
230,1744654766.8700218,1744654766.8839538,1744654766.8845456,1744654766.8919835,1744654766.8933058,1744654766.895052,1744654766.8979328,1744654766.8986974,0.0022916793823242188,0.0001533031463623047,0.0014226436614990234,0.003867626190185547,0.0046269893646240234,0.0007646083831787109,-0.0036454200744628906,0.0017461776733398438,0.004153728485107422
232,1744654766.9198217,1744654766.9221134,1744654766.9222667,1744654766.9236894,1744654766.923764,1744654766.9239755,1744654766.9257798,1744654766.9258776,0.006699323654174805,0.00013685226440429688,0.005754232406616211,0.012590408325195312,0.002015829086303711,9.775161743164062e-05,-0.0019021034240722656,0.00021147727966308594,0.015337228775024414
233,1744654766.9592774,1744654766.9659767,1744654766.9661136,1744654766.9718678,1744654766.9729474,1744654766.9746146,1744654766.978127,1744654766.9782407,0.002095460891723633,0.00011706352233886719,0.004549503326416016,0.006762027740478516,0.005179643630981445,0.00011372566223144531,-0.003626108169555664,0.0016672611236572266,0.012289762496948242
234,1744654767.0108316,1744654767.012927,1744654767.013044,1744654767.0175936,1744654767.0183444,1744654767.0231214,1744654767.0265617,1744654767.0266979,0.005866050720214844,0.000110626220703125,0.004358053207397461,0.01033473014831543,0.008217334747314453,0.0001361370086669922,-0.003576517105102539,0.004776954650878906,0.013992786407470703
235,1744654767.0342302,1744654767.0400963,1744654767.040207,1744654767.044565,1744654767.0452325,1744654767.048223,1744654767.0506222,1744654767.0507739,0.01043391227722168,0.00010466575622558594,0.010135173797607422,0.020673751831054688,0.005389690399169922,0.00015163421630859375,-0.002550840377807617,0.0029904842376708984,0.03058624267578125
